"date","Plate.SN","well","DIV","trt","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20160921","MW1159-40","B8",7,"Tributyltin chloride",10,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B8",9,"Tributyltin chloride",10,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C1",12,"Mercuric chloride",20,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C1",5,"Mercuric chloride",20,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C1",7,"Mercuric chloride",20,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C1",9,"Mercuric chloride",20,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C2",12,"Mercuric chloride",0,"uM","ON_20160921_MW1159-40_12_00(000).h5",0.363615862358379,1.26,0.0567273282796684,48.8284,0.3592,36.0966,8,5,9,6.77777777777778,0.126441798941799,5.53697510219249,71.40625,0.0248924268970332,16.5555555555556,0.0957494921026473,0.000532344100553107,1,""
"20160921","MW1159-40","C2",5,"Mercuric chloride",0,"uM","ON_20160921_MW1159-40_05_00(000).h5",0.183358090750209,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C2",7,"Mercuric chloride",0,"uM","ON_20160921_MW1159-40_07_00(000).h5",0.392787868061677,0.18,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00403088870609253,0,1,""
"20160921","MW1159-40","C2",9,"Mercuric chloride",0,"uM","ON_20160921_MW1159-40_09_00(000).h5",0.408894231773517,1.305,0.0510533351013681,48.90525,0.359,52.34925,4,4,2,9,0.118154761904762,1.84729064039409,184.4,0.00799704097770469,15,0.0613497066812839,0,1,""
"20160921","MW1159-40","C3",12,"Mercuric chloride",0.03,"uM","ON_20160921_MW1159-40_12_00(000).h5",1.67828581849025,5.42625,0.0149563672053467,84.77475,0.20775,12.859375,16,16,112,13.4553571428571,0.172030829413642,30.2850995158687,7.99234234234234,0.0524379241034498,65.3482142857143,0.461714843578023,0.0176359278881326,1,""
"20160921","MW1159-40","C3",5,"Mercuric chloride",0.03,"uM","ON_20160921_MW1159-40_05_00(000).h5",1.07125575444364,0.96,0.0749873123486685,12.22,0.4045,60.25,2,2,0,NA,NA,0,NA,NA,NA,0.00401206011375614,3.4015338215565e-07,1,""
"20160921","MW1159-40","C3",7,"Mercuric chloride",0.03,"uM","ON_20160921_MW1159-40_07_00(000).h5",1.19693550984808,1.92857142857143,0.0596990678615567,42.8843846153846,0.611,47.4030769230769,14,13,18,12.4444444444444,0.233991402116402,3.74596056189408,47.5235294117647,0.0556061178849152,31.5555555555556,0.0835755162183195,0.00104918013967931,1,""
"20160921","MW1159-40","C3",9,"Mercuric chloride",0.03,"uM","ON_20160921_MW1159-40_09_00(000).h5",1.38612922319963,2.9925,0.0351773791457122,67.4935,0.5089375,29.2658125,16,16,44,14.5227272727273,0.226984803391053,11.9689378757515,19.4453488372093,0.0846037401178624,54.2954545454545,0.24093251740084,0.00743548202430268,1,""
"20160921","MW1159-40","C4",12,"Mercuric chloride",0.1,"uM","ON_20160921_MW1159-40_12_00(000).h5",1.63600428310554,5.22,0.0147622339258763,79.1083076923077,0.185230769230769,20.8258461538462,13,13,114,11.0614035087719,0.177115713842688,33.0775254502741,7.58495575221239,0.0604728703741095,55.5789473684211,0.435368951674551,0.0180462814378796,1,""
"20160921","MW1159-40","C4",5,"Mercuric chloride",0.1,"uM","ON_20160921_MW1159-40_05_00(000).h5",0.235587365085117,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C4",7,"Mercuric chloride",0.1,"uM","ON_20160921_MW1159-40_07_00(000).h5",1.12864010462135,4.29,0.0589576808716581,60.9974285714286,0.709714285714286,44.845,8,7,14,9.5,0.16764880952381,4.94264095679766,65.4807692307692,0.0731609656865131,28.9285714285714,0.111826403123068,0.000921047748333043,1,""
"20160921","MW1159-40","C4",9,"Mercuric chloride",0.1,"uM","ON_20160921_MW1159-40_09_00(000).h5",1.1530453694898,3.18,0.0352679341477174,67.1811818181818,0.405727272727273,31.4205454545455,11,11,49,9.85714285714286,0.239122934888241,12.7941176470588,18.4604166666667,0.0993494700085047,30.1836734693878,0.212146550451699,0.00438492001457512,1,""
"20160921","MW1159-40","C5",12,"Mercuric chloride",0.3,"uM","ON_20160921_MW1159-40_12_00(000).h5",2.2945438709288,5.62875,0.0272232692643065,71.158375,0.451,13.874875,16,16,282,11.4539007092199,0.121309573995744,27.6656275536455,3.1202846975089,0.0874051813524151,32.4148936170213,0.301692204182184,0.015325340466803,1,""
"20160921","MW1159-40","C5",5,"Mercuric chloride",0.3,"uM","ON_20160921_MW1159-40_05_00(000).h5",0.0933459371091972,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C5",7,"Mercuric chloride",0.3,"uM","ON_20160921_MW1159-40_07_00(000).h5",1.35864601321758,1.6575,0.0825294771511027,36.9853333333333,1.76366666666667,46.0406666666667,8,3,9,9.22222222222222,0.119166666666667,1.88909201706277,94.56875,0.0274771053687328,20.6666666666667,0.022960765175456,7.46167569477402e-05,1,""
"20160921","MW1159-40","C5",9,"Mercuric chloride",0.3,"uM","ON_20160921_MW1159-40_09_00(000).h5",1.51144832101997,1.94142857142857,0.0551904470460928,44.6444615384615,0.941769230769231,36.5359230769231,14,13,21,12.6666666666667,0.217659202569917,6.61664392905866,43.66,0.113546288334906,60.0476190476191,0.0964991719880462,0.00252728257725127,1,""
"20160921","MW1159-40","C6",12,"Mercuric chloride",1,"uM","ON_20160921_MW1159-40_12_00(000).h5",0.766232234323417,1.68,0.0451228248770896,41.917,0.411,62.3293333333333,5,3,13,6.38461538461539,0.128589743589744,8.16270060874377,69.6125,0.0225318309189112,22.6923076923077,0.133015429495004,0.00128306686437026,1,""
