"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20211110","MW78-6213","E1","7126 C12","0.1002","uM","0","(7126 C12) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",1.008334,1.44,0.122553,47.1345,0.723,16.7865,7.5,1.5,3,15.75,0.334062,1.540785,319.875,0.09325,25.5,0.008987,5e-06
"20220615","MW78-7303","E1","7126 C12","0.1002","uM","1","",11.395963,10.634196,0.456797,437.506438,8.153562,472.467938,113.5,85,78.5,94.676471,2.450986,49.938513,436.617813,0.292949,813.468137,2.054563,0.075657
"20211110","MW78-6211","F1","7126 C12","0.1002","uM","0","(7126 C12) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",6.975423,9.4275,0.217827,92.956,4.505,11.12,8.5,4.5,0,0,0,0,0,0,0,0.00185,4e-06
"20220615","MW78-7304","F1","7126 C12","0.1002","uM","1","",15.156392,13.253839,0.506548,538.215469,15.527406,366.345083,113.5,103.5,95,95.210526,2.968213,49.723446,411.478016,0.569296,716.637218,2.324362,0.077111
"20211110","MW78-6211","A1","7126 C7","0.1002","uM","0","(7126 C7) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",11.485034,3.64875,0.502113,61.01425,6.07475,107.36425,24,5.5,0,0,0,0,0,0,0,-0.005702,1.8e-05
"20220615","MW78-7303","A1","7126 C7","0.1002","uM","1","",8.518016,5.658214,0.135489,439.202594,6.11225,331.996219,107,68,76,95.529412,3.100567,55.021855,628.281771,0.47794,774.323529,2.142316,0.073968
"20211110","MW78-6212","B1","7126 C7","0.1002","uM","0","(7126 C7) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",34.497173,12.6675,0.756564,441.73335,161.12575,59.91685,45,22.5,5.5,56.75,0.653125,0.456808,662.925,0.048614,73,0.021362,0.000184
"20220615","MW78-7304","B1","7126 C7","0.1002","uM","1","",15.493553,18.3,0.429608,536.595063,9.235635,340.528719,121,111,104,118.893414,3.819798,38.37507,914.854871,0.934944,659.351936,2.101626,0.099383
"20211110","MW78-6213","C1","7126 C7","0.1002","uM","0","(7126 C7) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",7.999844,10.755429,0.496242,240.46175,9.56425,29.30475,34.5,11,6,23.25,0.190594,2.230676,393.7,0.035111,96.75,0.067444,0.00013
"20220615","MW78-7305","C1","7126 C7","0.1002","uM","1","",16.784822,17.482067,0.373959,597.22675,13.789156,315.904187,128.5,108.5,104,92.868421,2.768395,36.221727,305.237073,0.721511,628.169173,2.27851,0.106723
"20211110","MW78-6213","A1","7126 C8","0.1002","uM","0","(7126 C8) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",6.474585,0.495,0.226815,6.1125,1.0695,92.25,18.5,1.5,0,0,0,0,0,0,0,-0.001782,2.9e-05
"20220615","MW78-7305","A1","7126 C8","0.1002","uM","1","",16.00605,15.101875,0.550787,464.684563,12.343494,322.806544,126,94,64.5,94.863636,4.107713,36.907675,627.852206,0.885385,888.95,1.778426,0.07553
"20211110","MW78-6211","B1","7126 C8","0.1002","uM","0","(7126 C8) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",2.106686,1.25,0.0712,72.6915,0.363,11.799,25,1.5,6,24.666667,0.108333,25.471698,634.45,0.014434,36,0.074489,1.9e-05
