"date","plate.SN","well","treatment","dose","units","NHEERL_MEA_dev_firing_rate_mean","NHEERL_MEA_dev_burst_rate","NHEERL_MEA_dev_per_burst_interspike_interval","NHEERL_MEA_dev_per_burst_spike_percent","NHEERL_MEA_dev_burst_duration_mean","NHEERL_MEA_dev_interburst_interval_mean","NHEERL_MEA_dev_active_electrodes_number","NHEERL_MEA_dev_bursting_electrodes_number","NHEERL_MEA_dev_network_spike_number","NHEERL_MEA_dev_network_spike_peak","NHEERL_MEA_dev_spike_duration_mean","NHEERL_MEA_dev_per_network_spike_spike_percent","NHEERL_MEA_dev_per_network_spike_interspike_interval_mean","NHEERL_MEA_dev_network_spike_duration_std","NHEERL_MEA_dev_per_network_spike_spike_number_mean","NHEERL_MEA_dev_correlation_coefficient_mean","NHEERL_MEA_dev_mutual_information_norm"
"20140205","MW1007-26","A5","Acetaminophen","3.00000","uM",8.75323,13.202,0.219446,426.495233,4.0716,185.913867,97.5,84,286.5,79.490794,1.385903,84.301823,147.301097,0.84911,322.841493,1.587411,0.046205
"20140212","MW1007-27","A5","Acetaminophen","3.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140402","MW1007-27","A5","Acetaminophen","3.00000","uM",9.277072,17.87,0.194988,670.355629,3.665638,367.80408,133.5,131,362.5,120.191188,1.851548,179.559264,341.129468,0.579235,871.582536,3.252204,0.085378
"20140423","MW1007-38","A5","Acetaminophen","3.00000","uM",5.889442,12.439875,0.273072,343.144415,2.396857,251.969973,89,78,690,62.967558,0.653143,159.164105,118.933136,0.311106,196.060384,1.603387,0.044555
"20140730","MW1007-104","A6","Bisindolymaleimide 1","3.00000","uM",1.002586,1.623291,0.08801,95.593384,0.998856,180.397325,13.333333,11.25,17.083333,26.090476,0.38542,19.192229,312.062692,0.056439,87.080952,0.287466,0
"20140205","MW1007-26","B6","Bisindolymaleimide 1","3.00000","uM",1.950839,3.822667,0.159619,258.086571,1.901314,244.779257,45,42.5,71,50.285714,0.78218,53.041596,225.161288,0.212241,162.821429,0.808253,0.005543
"20140716","MW1007-26","B6","Bisindolymaleimide 1","3.00000","uM",2.358465,5.682,0.096834,177.200808,0.848692,261.525423,30,27,91.5,39.176471,0.597039,46.228743,444.3795,0.181006,105.779412,0.616439,0.00824
"20140212","MW1007-27","B6","Bisindolymaleimide 1","3.00000","uM",0.652742,0.578571,0.069499,106.932,0.462,107.25,13,3,7.5,12.6,0.144036,8.927173,193.3125,0.01252,22.8,0.103473,0
"20140402","MW1007-27","B6","Bisindolymaleimide 1","3.00000","uM",3.247348,5.706202,0.254062,436.69695,3.405243,358.323161,66.5,61,124,57,0.919572,59.568128,275.010385,0.277303,273.090909,1.306808,0.022127
"20140423","MW1007-38","B6","Bisindolymaleimide 1","3.00000","uM",1.464957,5.046923,0.180821,249.678654,1.457404,228.370173,27,24.5,55.5,32.694444,0.409634,49.311935,342.792308,0.129441,92.138889,0.552322,0.004726
"20140730","MW1007-104","D6","Bisindolymaleimide 1","3.00000","uM",1.771643,4.047291,0.119007,222.458884,1.441556,233.811825,35.833333,33.75,60.583333,46.004269,0.724936,52.987123,355.128764,0.187564,167.874056,0.832157,0.007996
"20140716","MW1007-26","E6","Bisindolymaleimide 1","3.00000","uM",3.518964,3.7925,0.053015,77.244833,0.587,37.5325,28,13.5,77,38.744186,0.580305,37.474487,453.603571,0.130711,106.348837,0.372416,0.005518
"20140716","MW1007-26","A5","Glyphosate","3.00000","uM",10.278683,21.600286,0.353747,371.702077,5.963846,131.305215,63.5,59,312.5,50.518866,0.657015,89.538733,51.144318,0.188422,213.690295,1.114334,0.037052
"20140730","MW1007-104","B5","Glyphosate","3.00000","uM",7.555934,20.046393,0.247158,404.245605,2.305454,182.229549,82.75,73.25,344,65.092951,1.153808,98.319176,130.191858,0.311463,211.781485,1.361813,0.024791
"20140716","MW1007-26","D5","Glyphosate","3.00000","uM",2.606625,5.88,0.216955,379.603458,2.106375,390.546083,34.5,27.5,92.5,37.7375,0.45615,88.929256,171.020833,0.134172,99.858929,1.205754,0.009635
"20140730","MW1007-104","E5","Glyphosate","3.00000","uM",5.097571,8.633143,0.285997,371.634507,3.638288,270.42912,67.75,59.25,170,67.205357,0.951835,76.458586,289.469007,0.259417,199.816071,1.107572,0.010219
"20140205","MW1007-26","D5","Loperamide","3.00000","uM",0.399943,2.050714,0.07144,121.438071,0.565286,78.131036,21,21,75,19.68,0.110879,83.245614,24.235714,0.03386,56.94,0.737315,0.005558
"20140212","MW1007-27","D5","Loperamide","3.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140402","MW1007-27","D5","Loperamide","3.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140423","MW1007-38","D5","Loperamide","3.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140205","MW1007-26","E5","Mevastatin","3.00000","uM",5.213437,14.74,0.533406,253.5795,2.7955,87.6035,23,6,0,0,0,0,0,0,0,-0.006719,1e-06
"20140212","MW1007-27","E5","Mevastatin","3.00000","uM",23.963563,16.71,0.442617,280.272,19.5485,95.26375,7,5.5,0,0,0,0,0,0,0,0.007091,5e-06
"20140402","MW1007-27","E5","Mevastatin","3.00000","uM",9.426868,10.984091,0.489642,206.001409,3.678545,186.479273,28.5,21,58.5,15.807692,0.345123,34.055841,33.511184,0.240988,59.423077,0.538972,0.008132
"20140423","MW1007-38","E5","Mevastatin","3.00000","uM",11.3803,0.15,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0
"20140730","MW1007-104","C7","Sodium Orthovanadate","3.00000","uM",9.943252,15.793175,0.960766,360.869248,6.183929,341.977261,65.166667,56.166667,200.166667,64.942638,0.968218,80.930768,585.230425,0.337641,231.557321,1.109566,0.02224
"20140716","MW1007-26","C7","Sodium Orthovanadate","3.00000","uM",8.944016,11.564308,0.189352,456.835102,2.133849,330.064816,65.5,55.5,196.5,64.384615,0.802576,105.496348,81.808874,0.159408,272.598635,1.258506,0.032079
"20140212","MW1007-27","F5","Sodium Orthovanadate","3.00000","uM",11.245554,13.36619,0.490357,400.127818,56.349212,108.021659,51.5,33.5,363.5,35.795852,0.49091,44.583083,283.780545,0.163745,104.534662,0.34209,0.011511
"20140402","MW1007-27","F5","Sodium Orthovanadate","3.00000","uM",13.747492,21.177955,0.424282,327.468199,4.464108,179.687375,47.5,38.5,156,43.23258,0.681653,80.655242,118.984284,0.176445,168.813559,1.114901,0.026656
"20140423","MW1007-38","F5","Sodium Orthovanadate","3.00000","uM",3.988838,3.535714,0.098488,260.021875,1.20975,198.903625,25,11,37.5,11.82,0.161277,32.119351,53.846875,0.035918,29.28,0.560547,0
"20140205","MW1007-26","F6","Sodium Orthovanadate","3.00000","uM",16.027522,25.046558,0.633781,436.64948,5.846067,206.393135,90.5,79,408.5,62.833849,1.473405,65.050828,213.031305,0.512758,228.452872,1.251789,0.044213
"20140730","MW1007-104","F7","Sodium Orthovanadate","3.00000","uM",5.953089,8.234425,0.314309,233.329716,7.290616,121.230074,28.166667,23.166667,46.666667,27.757071,0.465514,20.690317,138.60881,0.17127,104.665569,0.34313,0
