date,Plate.SN,DIV,well,trt,dose,units,Mutual Information
20160720,MW1139-21,5,F5,Bis(2-ethylhexyl) tetrabromophthalate,0.1,uM,0
20160720,MW1139-21,5,F6,Bis(2-ethylhexyl) tetrabromophthalate,0.3,uM,5.25E-05
20160720,MW1139-21,5,F7,Bis(2-ethylhexyl) tetrabromophthalate,1,uM,0
20160720,MW1139-21,5,F8,Bis(2-ethylhexyl) tetrabromophthalate,3,uM,0
20160720,MW1139-21,7,A1,2-Ethylhexyl diphenyl phosphate,10,uM,0.000276345
20160720,MW1139-21,7,A2,2-Ethylhexyl diphenyl phosphate,20,uM,1.01E-05
20160720,MW1139-21,7,A3,2-Ethylhexyl diphenyl phosphate,0,uM,0.003015233
20160720,MW1139-21,7,A4,2-Ethylhexyl diphenyl phosphate,0.03,uM,0.002381786
20160720,MW1139-21,7,A5,2-Ethylhexyl diphenyl phosphate,0.1,uM,0.002624946
20160720,MW1139-21,7,A6,2-Ethylhexyl diphenyl phosphate,0.3,uM,0.003160613
20160720,MW1139-21,7,A7,2-Ethylhexyl diphenyl phosphate,1,uM,0.002224316
20160720,MW1139-21,7,A8,2-Ethylhexyl diphenyl phosphate,3,uM,0.000291296
20160720,MW1139-21,7,B1,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",10,uM,0.003908707
20160720,MW1139-21,7,B2,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",20,uM,0
20160720,MW1139-21,7,B3,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0,uM,0.003340603
20160720,MW1139-21,7,B4,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.03,uM,0.002475184
20160720,MW1139-21,7,B5,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.1,uM,0.00207505
20160720,MW1139-21,7,B6,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.3,uM,0.006282685
20160720,MW1139-21,7,B7,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",1,uM,0.00151807
20160720,MW1139-21,7,B8,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",3,uM,0.00104041
20160720,MW1139-21,7,C1,"2,2',4,4',5-Pentabromodiphenyl ether",10,uM,0.000516148
20160720,MW1139-21,7,C2,"2,2',4,4',5-Pentabromodiphenyl ether",20,uM,0
20160720,MW1139-21,7,C3,"2,2',4,4',5-Pentabromodiphenyl ether",0,uM,0.004700957
20160720,MW1139-21,7,C4,"2,2',4,4',5-Pentabromodiphenyl ether",0.03,uM,0.00517457
